,file,y,x,ulx,uly,lrx,lry
0,100-16.tif,100,16,360026.8291210144,315262.82805685647,362527.1467026562,315228.83733403875
1,100-17.tif,100,17,360026.8291210144,317762.1459111067,362527.1467026562,315262.82805685664
2,100-18.tif,100,18,360027.234668935,320262.4445057497,362527.52723907615,317762.151936859
3,100-19.tif,100,19,360027.428355581,322762.7339279836,362526.709275081,320262.4532958657
4,100-20.tif,100,20,360027.61598090554,325263.0114127792,362526.8853461556,322762.7423382825
5,100-21.tif,100,21,360027.61598090554,327762.28077952913,362526.8853461556,325263.0114127791
6,100-22.tif,100,22,360026.9733392436,330262.5323916913,362527.2204349523,327762.285296983
7,100-23.tif,100,23,360027.1427706525,332762.7763464087,362527.3794466951,330262.53967161675
8,100-24.tif,100,24,360027.3061311488,335263.00988242385,362527.53276717686,332762.78324789635
9,100-25.tif,100,25,360027.3061311488,337723.2488858513,362511.5377147273,335263.00988242385
10,100-30.tif,100,30,360027.1590013296,350262.2142567709,362527.33338096354,350218.2287819145
11,100-31.tif,100,31,360027.2798013412,352762.3855153513,362527.44680177455,350262.2185134173
12,100-32.tif,100,32,360027.3945110599,355262.5494025879,362527.5545164464,352762.3893984519
13,100-33.tif,100,33,360027.3945110599,357762.7094067239,362527.5545164464,355262.549402588
14,100-34.tif,100,34,360027.6056497686,360262.85657490493,362526.7531452686,357762.70941840595
15,100-35.tif,100,35,360027.6056497686,362715.0200994518,362526.7531452686,360262.85657490476
16,100-37.tif,100,37,360026.8769668121,367762.27191384346,362527.00770999846,367712.2892920434
17,100-38.tif,100,38,360026.95508500194,370262.3995662109,362527.08111955563,367762.27352965646
18,100-39.tif,100,39,360027.0270954881,372762.52251810295,362527.1488053125,370262.4008072783
19,100-40.tif,100,40,360027.09299577185,375262.6411510402,362527.21076427033,372762.52338479256
20,100-41.tif,100,41,360027.09299577185,377762.75891728775,362527.21076427033,375262.6411510401
21,100-42.tif,100,42,360027.20645566157,380262.86698259076,362527.3174839651,377762.75595353695
22,100-43.tif,100,43,360027.25401026057,382762.9749511681,362527.3622444469,380262.8667189826
23,100-44.tif,100,44,360027.29544458474,385262.08048749657,362527.4012670568,382762.9743109967
